sim,clade.id,time,r.time.rich,p.time.rich,r.env.rich,p.env.rich,r.MRD.rich,p.MRD.rich,r.PSV.rich,p.PSV.rich,r.env.MRD,p.env.MRD,r.env.PSV,p.env.PSV,r.ext.reg,p.ext.reg,r.rich.ext,p.rich.ext,n.regions,clade.origin.time,global.richness,extant.richness,max.RD,MRD.range,MRD.mean,MRD.var,MRD.rich.slope,MRD.env.slope,PSV.range,PSV.mean,PSV.var,PSV.rich.slope,PSV.env.slope,n.div.regions,gamma.stat,clade.richness,tree.beta,glob.origins,glob.extinctions,glob.orig.rate,glob.ext.rate
3325,409,3000,0.938818837133855,0.00172033604430211,0.977081944027346,0.000150849981152623,-0.994428043455127,4.43787994099614e-06,0.994928764355767,3.85109368627285e-05,-0.960158095541534,0.000595622327381565,0.98430215686094,0.000367699269685226,-0.745268367875756,0.0545341849637802,-0.62614570148329,0.132492062324868,7,41,408,72,33,20.1685770750988,23.0690254609901,72.3006897754866,-0.0829476277339143,-1.03930561032967,0.627641663100099,0.643987490872855,0.0722207115204546,0.00273918896918775,0.0388828410347881,6,-10.2899364506327,408,-0.565264639950446,443,0,0.147666666666667,0
3325,959,6000,0.982984198086669,3.5932888825068e-07,0.974726632697329,1.73140166286566e-06,-0.993247891278383,9.02012419588975e-09,0.983830627251128,2.93291149778929e-07,-0.981061928751488,5.50068777222498e-07,0.981520783950308,4.98940739579601e-07,-0.851364001065434,0.00177758958644656,-0.735610564246991,0.0153139731702973,10,41,958,170,59,41.8,36.3168458966169,245.849153716006,-0.114328501056496,-1.39719735831167,0.765651135255966,0.557754544524986,0.0919005104247634,0.00218948411701657,0.0270262280060171,10,-16.1044810029867,958,-0.68407610793216,632,2,0.000475545522949586,1.50489089541008e-06
3325,1496,9000,0.989270569629433,5.72376792608461e-08,0.994835446662058,3.09325020123102e-09,-0.993310734019843,8.6896343378816e-09,0.99204595750113,1.73451617640334e-08,-0.992412005539694,1.43722928818906e-08,0.993862356364786,6.16286244886372e-09,-0.915535402777727,0.000200892466838002,-0.881893121426244,0.00073647758982392,10,41,1495,295,66,48.7237037037037,38.899294260059,300.456813964999,-0.123069390022054,-1.56246397409814,0.623100208079024,0.680372457273531,0.0499104323261734,0.00158416840812678,0.0201673521471098,10,-19.1048267119487,1495,-0.56047034291638,692,42,0.000214573643410853,1.30232558139535e-05
3325,1856,12000,0.969373308733676,3.70959895538394e-06,0.996077398793343,1.03092943441533e-09,-0.9943010821475,4.58326034707111e-09,0.988179924530819,8.41948640163278e-08,-0.997015992358627,3.4563825519275e-10,0.9893602972129,5.53528880327719e-08,-0.93205952761301,8.5829647509291e-05,-0.91785675646406,0.000180218732509329,10,41,1855,411,74,54.8176155294799,40.2640833052849,349.460157775135,-0.138010227931083,-1.6928868564584,0.574688561910222,0.743364490466625,0.0361669154081209,0.00139536006253412,0.0170898081636562,10,-22.2462593102091,1855,-0.574074183947625,611,230,0.000118136117556071,4.44702242846094e-05
3325,1983,15000,0.978449655973615,9.19431276915646e-07,0.999446066472801,4.11642257573351e-13,-0.997874448934191,8.90750470322212e-11,0.980864573477601,5.73222228266971e-07,-0.997872315868858,8.94329163134255e-11,0.9784718743405,9.15670016112456e-07,-0.939116600156407,5.58322571183108e-05,-0.937146480633061,6.32641244110582e-05,10,41,1982,525,76,58.7080831272813,40.5936524614358,383.54698363445,-0.157532025497471,-1.77505262936668,0.52124283243835,0.786619246691842,0.0277856261587162,0.00131796176736399,0.0148144459902031,10,-23.0456982235431,1982,-0.540827187920405,589,414,9.32699920823436e-05,6.55581947743468e-05
3325,2074,18000,0.967263920325254,4.82971047671587e-06,0.998584978461152,1.75102612187216e-11,-0.995845276708018,1.2971182727791e-09,0.974512815801314,1.7902774753532e-06,-0.997902180766788,8.45194383225025e-11,0.974649470138999,1.75247958928372e-06,-0.941043417332936,4.92091057881742e-05,-0.942083186483331,4.58868890704014e-05,10,41,2073,711,76,58.6213026819923,40.8048912716636,384.005376850454,-0.163610874079201,-1.7761661893849,0.456035850877588,0.81659263389296,0.0210050616396383,0.00118413489473141,0.0128303175551913,10,-21.1232701931426,2073,-0.578596142741049,599,478,8.75347069998539e-05,6.98524039164109e-05
3325,2112,21000,0.96401609299931,7.02317521857152e-06,0.998864188178767,7.27129123184605e-12,-0.996410352346549,7.23291491003974e-10,0.974255554438892,1.86308104479326e-06,-0.99762227440243,1.39439330894557e-10,0.973262554360514,2.1649840732765e-06,-0.943466432666494,4.17284096553336e-05,-0.943390280701466,4.19497860677202e-05,10,41,2111,928,76,58.0516853932584,39.9755274501089,373.759346212184,-0.164851739330187,-1.75181863671,0.390527473591117,0.842811497056872,0.0152722753375669,0.00103034824333107,0.0109246834376795,10,-18.9868084466242,2111,-0.588180158399451,599,550,8.31251734665556e-05,7.63252844851513e-05
3325,2123,24000,0.969092979375315,3.84598376519861e-06,0.999354520674832,7.58876263487979e-13,-0.99784659052197,9.38343475020286e-11,0.972581253299036,2.39225145084008e-06,-0.997834382147143,9.59790135405466e-11,0.974700613041295,1.73848800183658e-06,-0.947944393095057,3.01618043180985e-05,-0.94563430274208,3.57815624417825e-05,10,41,2122,1184,76,58.0832641029077,40.0115025979577,378.383157722939,-0.162885635124016,-1.76299604131387,0.347083836502683,0.858890165298057,0.0122733566307718,0.000904192041919713,0.00980798720027055,10,-16.6506012910819,2122,-0.56682009645964,603,557,8.20073439412485e-05,7.57513939888481e-05
3325,2146,27000,0.964878025239902,6.38074030681977e-06,0.998663337358899,1.39433946656784e-11,-0.996054984997357,1.05466673390111e-09,0.966973686002717,5.00151693647957e-06,-0.997998573771484,7.00314263662391e-11,0.972572908446045,2.39514086474644e-06,-0.949814274699887,2.61156686012112e-05,-0.941664675336111,4.72034354882698e-05,10,41,2145,1536,74,56.6331828442438,39.1616281689562,363.044032800908,-0.162457502458238,-1.72717580797068,0.311742694697902,0.873406490747638,0.00971538698146919,0.000815871035672406,0.00870721351453177,10,-15.003935937741,2145,-0.552909911668965,559,540,7.46228807902817e-05,7.20865038045655e-05
3325,2144,30000,0.968054362614375,4.38407050475561e-06,0.99784483347757,9.41407751830655e-11,-0.994661501277455,3.53077243320544e-09,0.97042922019994,3.22800479952708e-06,-0.998484218917114,2.30533378098942e-11,0.973965476445181,1.94779608836764e-06,-0.951021993990259,2.37260676666062e-05,-0.949165722141547,2.74702494766398e-05,10,41,2143,2143,74,56.7064183304301,39.3902356700533,372.804882072862,-0.163746802049535,-1.7510920446878,0.286251793860623,0.882794351878604,0.00841029114371774,0.000758797869496792,0.00811289868333089,10,-12.6408770337843,2143,-0.535345090966379,589,588,7.80029135213879e-05,7.7870480731029e-05
